accepted_length,static_rounds,static_ratio,best_static_oracle_rounds,best_static_oracle_ratio,oracle_b_rounds,oracle_b_ratio
0,17,0.03019538188277087,12,0.023809523809523808,10,0.023255813953488372
1,92,0.16341030195381884,71,0.14087301587301587,25,0.05813953488372093
2,41,0.07282415630550622,20,0.03968253968253968,14,0.03255813953488372
3,53,0.0941385435168739,26,0.051587301587301584,19,0.044186046511627906
4,54,0.09591474245115453,31,0.061507936507936505,19,0.044186046511627906
5,47,0.08348134991119005,46,0.09126984126984126,14,0.03255813953488372
6,70,0.12433392539964476,75,0.1488095238095238,33,0.07674418604651163
7,33,0.0586145648312611,36,0.07142857142857142,9,0.020930232558139535
8,156,0.27708703374777977,187,0.37103174603174605,287,0.6674418604651163
