ranker,horizon,budget_ratio,frontier_ratio,num_rows,num_samples,prior_union_recall,frontier_miss_recall,frontier_missed_attention_share_recovered,prior_attention_recovery_across_round
post_rope_endpoint_mean,8,0.1,0.01,16800,21,0.3538437711806697,0.06310283650850629,0.09220770215690743,0.8425819554456627
post_rope_endpoint_mean,8,0.1,0.02,16800,21,0.3538437711806697,0.10898201768510453,0.15505852346675214,0.8425819554456627
post_rope_endpoint_mean,8,0.1,0.05,16800,21,0.3538437711806697,0.22867934753515942,0.3058671230823152,0.8425819554456627
post_rope_endpoint_mean,8,0.1,0.1,16800,21,0.3538437711806697,0.38145808774581974,0.4761594359373771,0.8425819554456627
pre_rope_future_corrected_endpoint_mean,8,0.1,0.01,16800,21,0.356545642431671,0.06382204069503636,0.09036712036752156,0.8367856854771483
pre_rope_future_corrected_endpoint_mean,8,0.1,0.02,16800,21,0.356545642431671,0.11042752239799354,0.15232135284458595,0.8367856854771483
pre_rope_future_corrected_endpoint_mean,8,0.1,0.05,16800,21,0.356545642431671,0.23129518878009198,0.30310158061161474,0.8367856854771483
pre_rope_future_corrected_endpoint_mean,8,0.1,0.1,16800,21,0.356545642431671,0.38596421689130883,0.47749265831464893,0.8367856854771483
previous_terminal_attention,8,0.1,0.01,16800,21,0.3532815981417622,0.06186849130767594,0.08795462007629434,0.8410291642656774
previous_terminal_attention,8,0.1,0.02,16800,21,0.3532815981417622,0.10654688224391269,0.14765786017514163,0.8410291642656774
previous_terminal_attention,8,0.1,0.05,16800,21,0.3532815981417622,0.22263849837432606,0.29133893859416116,0.8410291642656774
previous_terminal_attention,8,0.1,0.1,16800,21,0.3532815981417622,0.37082124721328497,0.4576519452089135,0.8410291642656774
