method,result_source,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
static,reused_reference,1,18,16,0.8888888888888888
static,reused_reference,2,16,11,0.6875
static,reused_reference,3,10,9,0.9
static,reused_reference,4,9,9,1.0
static,reused_reference,5,9,6,0.6666666666666666
static,reused_reference,6,6,5,0.8333333333333334
static,reused_reference,7,4,4,1.0
static,reused_reference,8,4,4,1.0
best_static_oracle,reused_reference,1,16,15,0.9375
best_static_oracle,reused_reference,2,15,10,0.6666666666666666
best_static_oracle,reused_reference,3,10,10,1.0
best_static_oracle,reused_reference,4,10,10,1.0
best_static_oracle,reused_reference,5,10,8,0.8
best_static_oracle,reused_reference,6,6,6,1.0
best_static_oracle,reused_reference,7,5,4,0.8
best_static_oracle,reused_reference,8,4,4,1.0
oracle_b,reused_reference,1,12,12,1.0
oracle_b,reused_reference,2,12,12,1.0
oracle_b,reused_reference,3,12,10,0.8333333333333334
oracle_b,reused_reference,4,10,9,0.9
oracle_b,reused_reference,5,9,9,1.0
oracle_b,reused_reference,6,9,9,1.0
oracle_b,reused_reference,7,8,7,0.875
oracle_b,reused_reference,8,4,4,1.0
page_incremental_r0.01,current_run,1,14,13,0.9285714285714286
page_incremental_r0.01,current_run,2,13,12,0.9230769230769231
page_incremental_r0.01,current_run,3,12,11,0.9166666666666666
page_incremental_r0.01,current_run,4,10,8,0.8
page_incremental_r0.01,current_run,5,8,8,1.0
page_incremental_r0.01,current_run,6,8,8,1.0
page_incremental_r0.01,current_run,7,7,4,0.5714285714285714
page_incremental_r0.01,current_run,8,4,4,1.0
page_incremental_r0.05,current_run,1,13,12,0.9230769230769231
page_incremental_r0.05,current_run,2,12,11,0.9166666666666666
page_incremental_r0.05,current_run,3,11,10,0.9090909090909091
page_incremental_r0.05,current_run,4,10,9,0.9
page_incremental_r0.05,current_run,5,9,9,1.0
page_incremental_r0.05,current_run,6,9,9,1.0
page_incremental_r0.05,current_run,7,8,6,0.75
page_incremental_r0.05,current_run,8,4,4,1.0
page_incremental_r0.1,current_run,1,13,12,0.9230769230769231
page_incremental_r0.1,current_run,2,12,11,0.9166666666666666
page_incremental_r0.1,current_run,3,11,10,0.9090909090909091
page_incremental_r0.1,current_run,4,10,9,0.9
page_incremental_r0.1,current_run,5,9,9,1.0
page_incremental_r0.1,current_run,6,9,9,1.0
page_incremental_r0.1,current_run,7,8,6,0.75
page_incremental_r0.1,current_run,8,4,4,1.0
page_incremental_r0.2,current_run,1,13,12,0.9230769230769231
page_incremental_r0.2,current_run,2,12,11,0.9166666666666666
page_incremental_r0.2,current_run,3,11,10,0.9090909090909091
page_incremental_r0.2,current_run,4,10,9,0.9
page_incremental_r0.2,current_run,5,9,9,1.0
page_incremental_r0.2,current_run,6,9,9,1.0
page_incremental_r0.2,current_run,7,8,6,0.75
page_incremental_r0.2,current_run,8,4,4,1.0
