ranker,budget_ratio,frontier_page_ratio,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
post_rope_endpoint_mean,0.1,0.01,134400,21,0.8121341775027325,0.8121341775027325,0.9413418462769163,0.9031499409599008,0.962973191986979,0.9230136406515638,0.7776711309523809,0.6718080357142857
post_rope_endpoint_mean,0.1,0.02,134400,21,0.8121341775027325,0.8121341775027325,0.9413418462769163,0.9031499409599008,0.962973191986979,0.9230136406515638,0.7776711309523809,0.6718080357142857
post_rope_endpoint_mean,0.1,0.05,134400,21,0.8170696932099583,0.8170696932099583,0.9431413681078938,0.9049037496584196,0.962973191986979,0.9251648326895684,0.7856919642857143,0.6823065476190476
pre_rope_future_corrected_endpoint_mean,0.1,0.01,134400,21,0.8053509433962227,0.8053509433962227,0.9311477779730221,0.8935728868844024,0.962973191986979,0.9122813214461639,0.7620907738095238,0.6609449404761905
pre_rope_future_corrected_endpoint_mean,0.1,0.02,134400,21,0.8053509433962227,0.8053509433962227,0.9311477779730221,0.8935728868844024,0.962973191986979,0.9122813214461639,0.7620907738095238,0.6609449404761905
pre_rope_future_corrected_endpoint_mean,0.1,0.05,134400,21,0.8103633440343574,0.8103633440343574,0.9332499353444962,0.8956184183326604,0.962973191986979,0.9147035033881498,0.7704315476190476,0.6711755952380952
previous_terminal_attention,0.1,0.01,134400,21,0.7748239096651031,0.7748239096651031,0.9438274272721582,0.9009259618373918,0.962973191986979,0.9174215909327958,0.7619791666666667,0.6265178571428571
previous_terminal_attention,0.1,0.02,134400,21,0.7748239096651031,0.7748239096651031,0.9438274272721582,0.9009259618373918,0.962973191986979,0.9174215909327958,0.7619791666666667,0.6265178571428571
previous_terminal_attention,0.1,0.05,134400,21,0.7806225206051022,0.7806225206051022,0.9457820918793999,0.9028574559350139,0.962973191986979,0.9197885756251366,0.7698586309523809,0.6380580357142858
